iso_code,preferred_source,preferred_recent_date,positive_rate,positive_rate_prev,new_tests_daily7,new_tests_daily7_prev,new_tests_daily7_1k,new_tests_daily7_1k_prev,flag_negative_tests_previous7,flag_increase_tests_previous7,flag_negative_cases_previous7,owid_date,owid_new_cases,owid_new_cases_daily7,owid_total_tests_orig,owid_total_tests_int,owid_new_tests_orig,owid_new_tests_int,owid_tests_daily7,owid_tests_daily7_prev,owid_tests_daily7_1k,owid_tests_daily7_1k_prev,owid_positive_rate,owid_positive_rate_prev,owid_flag_negative_tests,owid_flag_increase_tests,owid_flag_negative_cases,owid_flag_negative_tests_prev7,owid_flag_increase_tests_prev7,owid_flag_negative_cases_prev7,owid_tests_units,owid_test_definition,owid_case_definition,owid_posrate_definition,find_date,find_new_cases,find_new_cases_daily7,find_total_tests,find_total_tests_int,find_new_tests_orig,find_new_tests_int,find_tests_daily7,find_tests_daily7_prev,find_tests_daily7_1k,find_tests_daily7_1k_prev,find_positive_rate,find_positive_rate_prev,find_flag_negative_tests,find_flag_increase_tests,find_flag_negative_cases,find_flag_negative_tests_prev7,find_flag_increase_tests_prev7,find_flag_negative_cases_prev7,find_tests_units,find_test_definition,find_case_definition,find_posrate_definition
BDI,OWID,2022-02-20,0.0066,0.02,1973,2096,0.161,0.171,0,0,0,2022-02-20,0,13,,1394754.66666667,,1463.33333333349,1973,2096,0.161,0.171,0.0066,0.02,0,0,0,0,0,0,tests performed,,,,2022-02-21,64,15.5714285714286,1396218,1396218,4390,1463.33333333326,1822.92857142857,2124.64285714286,0.15330321852061,0.178676550091906,0.00854198503193449,0.0107581106068247,0,0,0,0,0,0,Not specified,Not specified,,
BEL,OWID,2022-02-17,0.259,0.331,45517,59403,3.913,5.107,0,0,0,2022-02-17,11503,11239.8571428571,31351923,31351923,38263,38263,45517,59403,3.913,5.107,0.259,0.331,0,0,0,0,0,0,tests performed,PCR + antigen,PCR,Directly from source,2022-02-22,8356,8609.57142857143,31453138,31453138,100045,33348.3333333321,43413.1428571429,53863.8571428572,3.74574140268705,4.64744237643289,0.198317165308728,0.255700217744737,0,0,0,0,0,0,Samples,PCR and rapid test,,
BFA,OWID,2022-02-20,0.0139,0.0125,361,422,0.017,0.02,0,0,0,2022-02-20,6,5,,316931,,563,361,422,0.017,0.02,0.0139,0.0125,0,0,0,0,0,0,tests performed,,,,2022-02-21,0,4.28571428571429,317494,317494,1278,639,376.142857142857,396.857142857143,0.0179946829231621,0.0189856548274,0.0113938473224459,0.013678905687545,0,0,0,0,0,0,Not specified,Not specified,,
BGD,OWID,2022-02-20,0.1105,0.1791,30538,38384,0.184,0.231,0,0,0,2022-02-20,1987,3375.28571428571,13189417,13189417,25405,25405,30538,38384,0.184,0.231,0.1105,0.1791,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-22,1595,2533.57142857143,13283785,13283785,23274,23274,26761.8571428571,34472.8571428571,0.16249936026606,0.209320945192801,0.0946709869590515,0.165127843852306,0,0,0,0,0,0,Samples,Not specified,,
BGR,OWID,2022-02-20,0.1815,0.2164,24256,27319,3.517,3.961,0,0,0,2022-02-20,1235,4403.42857142857,9031014,9031014,,18453.666666666,24256,27319,3.517,3.961,0.1815,0.2164,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-01-02,1356,2117.14285714286,7457776,7457776,7428,7428,24118.8571428571,26455.4285714286,3.47133810346246,3.80763220659594,0.0877795678544352,0.0536049852042249,0,0,0,0,0,0,Not specified,Not specified,,
BHR,OWID,2022-02-20,0.1818,0.2161,22407,28246,12.816,16.156,0,0,0,2022-02-20,3904,4074.57142857143,,9289362.33333333,,11599.6666666679,22407,28246,12.816,16.156,0.1818,0.2161,0,0,0,0,0,0,units unclear,PCR,PCR,7-day cases / tests,2022-02-22,3425,3596.42857142857,9313980,9313980,13018,13018,18846.2857142857,26958.4285714286,11.0730233338929,15.8392647305691,0.190829568539462,0.202523462050035,0,0,0,0,0,0,Not specified,PCR,,
BHS,OWID,2022-02-15,0.048,0.0785,414,413,1.043,1.041,0,0,0,2022-02-15,22,19.8571428571429,216233,216233,877,877,414,413,1.043,1.041,0.048,0.0785,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-21,16,16.8571428571429,218223,218223,311,311,409.571428571429,,1.04216648491458,,0.0411580048831531,,0,0,0,0,,0,Samples,Not specified,,
BIH,FIND,2022-02-22,0.331090297353824,0.462384259259259,1571,2221.71428571429,0.478817433709235,0.677145469586798,0,0,0,2022-01-05,1556,794.857142857143,1499302,1499302,,3213.60000000009,3502,2663,1.073,0.816,0.227,0.1824,0,0,0,0,0,0,tests performed,unclear,unclear,7-day cases / tests,2022-02-22,495,520.142857142857,1200616,1200616,1968,1968,1571,2221.71428571429,0.478817433709235,0.677145469586798,0.331090297353824,0.462384259259259,0,0,0,0,0,0,Samples,Not specified,,
BLR,OWID,2022-02-20,0.3156,0.2739,23200,28467,2.457,3.015,0,0,0,2022-02-20,7283,7321.57142857143,,12290579.6666667,,21273.3333333321,23200,28467,2.457,3.015,0.3156,0.2739,0,0,0,0,0,0,tests performed,unclear,unclear,7-day cases / tests,2022-02-22,2507,6624.57142857143,12317444,12317444,5591,5591,22348.2857142857,26049.1428571429,2.36514823942065,2.75681478009767,0.296424142471778,0.300437634361427,0,0,0,0,0,0,Samples,Not specified,,
BLZ,OWID,2022-02-14,0.1036,0.2856,1847,1847,4.561,4.561,0,0,0,2022-02-14,335,191.285714285714,485497,485497,,1846.89473684214,1847,1847,4.561,4.561,0.1036,0.2856,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-22,118,103,494451,494451,8954,1279.14285714284,1279.14285714286,1846.8947368421,3.21392677674085,4.64043903729172,0.0805226714317623,0.0879468483982463,0,0,0,0,0,0,Samples and People,Not specified,,
BOL,OWID,2022-02-16,0.1508,0.2005,7739,10861,0.654,0.918,0,0,0,2022-02-16,981,1166.71428571429,3788665,3788665,8239,8239,7739,10861,0.654,0.918,0.1508,0.2005,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-01-02,11278,4918.42857142857,3053948,3053948,8484,8484,7742.64285714286,8895.78571428571,0.663295027597264,0.762082216592625,0.635238982628671,0.190379071952209,0,0,0,0,0,0,People,Not specified,,
BTN,OWID,2022-02-20,0.0348,0.016,10866,11938,13.933,15.307,0,0,0,2022-02-20,521,378.428571428571,1652926,1652926,8094,8094,10866,11938,13.933,15.307,0.0348,0.016,0,0,0,0,0,0,samples tested,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-14,237,195.142857142857,1602796,1602796,11905,11905,12743.5714285714,6552.28571428571,16.5072168763879,8.48741672834937,0.0153130429908637,0.0307199232546985,0,0,0,0,0,0,Samples,PCR and rapid test,,
BWA,OWID,2022-02-17,0.0843,0.1349,3826,3826,1.596,1.596,0,0,0,2022-02-17,1422,322.571428571429,,2161851.8,,3826.19999999972,3826,3826,1.596,1.596,0.0843,0.1349,0,0,0,0,0,0,tests performed,,,7-day cases / tests,2022-02-18,0,322.571428571429,2165678,2165678,57393,2608.77272727294,2608.77272727274,2608.77272727274,1.10917207792208,1.10917207792208,0.123648727694517,0.19790367665544,0,0,0,0,0,0,Not specified,Not specified,,
CAF,OWID,2022-02-08,0.2035,0.0918,73,123,0.015,0.025,0,0,0,2022-02-08,0,14.8571428571429,82793,82793,,53.3999999999942,73,123,0.015,0.025,0.2035,0.0918,0,0,0,0,0,0,tests performed,,,,2022-02-08,0,14.8571428571429,82793,82793,267,44.5,57.6984126984129,136.888888888888,0.0119458411383878,0.0283413848631239,0.257496561210453,0.0824443413729131,0,0,0,0,0,0,Not specified,Not specified,,
CAN,OWID,2022-02-19,0.1177,0.1605,59936,61299,1.574,1.61,0,0,0,2022-02-19,3980,7056.28571428572,57771312,57771312,25869,25869,59936,61299,1.574,1.61,0.1177,0.1605,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-22,8547,5884.85714285714,57771312,57771312,25869,25869,59936,61299,1.58804514864077,1.62415876212177,0.0981856837769812,0.140736390479453,0,0,0,0,0,0,People,Not specified,,
CHE,OWID,2022-02-20,0.363,0.377,49577,66476,5.688,7.627,0,0,0,2022-02-20,0,18065.7142857143,18362379,18362379,15503,15503,49577,66476,5.688,7.627,0.363,0.377,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,Directly from source,2022-02-22,15127,14938,18880166,18880166,47527,47527,49524.1428571429,68118.4285714286,5.72202690434926,7.87041346868037,0.301630662101313,0.308320173479382,0,0,0,0,0,0,Samples,PCR and rapid test,,
CHL,OWID,2022-02-20,0.3143,0.2963,104517,120332,5.44,6.263,0,0,0,2022-02-20,32136,32850.7142857143,32025850,32025850,107132,107132,104517,120332,5.44,6.263,0.3143,0.2963,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-02,30715,28742,30144567,30144567,111306,111306,118042.428571429,93678.4285714286,6.17505903805339,4.90052461662631,0.243488721367741,0.179070040518552,0,0,0,0,0,0,Samples,PCR,,
CHN,,,,,,,,,,,,2020-08-06,37,39,1.6e+08,1.6e+08,,,1627907,1627907,1.127,1.127,0,0,,0,0,,0,0,tests performed,,,7-day cases / tests,,,,,,,,,,,,,,,,,,,,,,,
CIV,OWID,2022-02-20,0.0156,0.0125,2286,2254,0.084,0.083,0,0,0,2022-02-20,21,35.5714285714286,,1397275.33333333,,2713.66666666651,2286,2254,0.084,0.083,0.0156,0.0125,0,0,0,0,0,0,tests performed,,,7-day cases / tests,2022-02-21,7,23,1399989,1399989,5462,2731,2382.60714285714,2046.67857142857,0.0903255418476436,0.0775903620982854,0.00965329096278087,0.0191948627567313,0,0,0,0,0,0,Not specified,Not specified,,
COD,FIND,2022-02-21,0.0206006453214197,0.0167364016736402,575.571428571429,913.321428571429,0.00642658555142784,0.0101977582716967,0,0,0,2021-08-20,142,132.571428571429,,,2098,2098,2085,1939,0.023,0.021,0.0636,0.1265,0,0,0,0,0,0,samples tested,Unclear,Unclear,7-day cases / tests,2022-02-21,42,11.8571428571429,951565,951565,814,407,575.571428571429,913.321428571429,0.00642658555142784,0.0101977582716967,0.0206006453214197,0.0167364016736402,0,0,0,0,0,0,Not specified,Not specified,,
COL,OWID,2022-02-20,0.144,0.226,32125,38315,0.627,0.747,0,0,0,2022-02-20,3381,3849.57142857143,32892409,32892409,30984,30984,32125,38315,0.627,0.747,0.144,0.226,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,Directly from source,2022-02-22,2174,3591.14285714286,32980562,32998421,0,17859,25275.6428571429,41833.5952380954,0.496740421302652,0.822152688286764,0.142079189733764,0.141622334749184,0,0,0,0,0,0,Not specified,PCR and rapid test,,
CPV,FIND,2022-02-21,0.00688405797101449,0.0129749768303985,394.285714285714,462.428571428572,0.709146968139774,0.831706063720452,0,0,0,2020-12-10,11,37.8571428571429,,,391,391,324,396,0.577,0.705,0.1168,0.1328,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-21,3,2.71428571428571,459423,459423,271,135.5,394.285714285714,462.428571428572,0.709146968139774,0.831706063720452,0.00688405797101449,0.0129749768303985,0,0,0,0,0,0,Not specified,Not specified,,
CRI,OWID,2022-02-14,0.383,0.426,11028,11891,2.146,2.314,0,0,0,2022-02-14,9427,4687.42857142857,2774653,2774653,5170,5170,11028,11891,2.146,2.314,0.383,0.426,0,0,0,0,0,0,people tested,PCR,PCR,Directly from source,2022-02-22,3391,3258.28571428571,3635922,3701874.85714286,0,10992.1428571432,11280.5102040816,13695.0816326531,2.21447000472745,2.68847303350081,0.288842051940769,0.32527840324025,0,0,0,0,0,0,Samples,Not specified,,
CUB,FIND,2022-02-19,0.0591046066296087,0.0691137258461643,11899,15738.0357142857,1.0504988081575,1.3894266543909,0,0,0,2021-07-04,3519,3127.57142857143,5296762,5296762,38826,38826,35601,31782,3.146,2.808,0.0879,0.0654,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-19,629,703.285714285714,12977887,12977887,14586,14586,11899,15738.0357142857,1.0504988081575,1.3894266543909,0.0591046066296087,0.0691137258461643,0,0,0,0,0,0,Samples,Not specified,,
CYP,OWID,2022-02-20,0.0226,0.0222,102009,105791,113.849,118.07,0,0,0,2022-02-20,1716,2301.28571428571,24820317,24820317,86413,86413,102009,105791,113.849,118.07,0.0226,0.0222,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2021-07-11,960,854,8765215,8765215,63665,63665,53356.7142857143,42984.7346938775,44.2060598887442,35.6128705003128,0.0160054833104416,0.0108410579550785,0,0,0,0,0,0,Samples,PCR and rapid test,,
CZE,OWID,2022-02-20,0.208,0.23,73192,99080,6.825,9.239,0,0,0,2022-02-20,8256,15689.4285714286,51359661,51359661,19619,19619,73192,99080,6.825,9.239,0.208,0.23,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,Directly from source,2022-02-22,0,10364.4285714286,52339933,52339933,65345,65345,69263.1428571429,95338,6.46775075704014,8.90260528527407,0.14963843891412,0.266634800094701,0,0,0,0,0,0,Samples,PCR and rapid test,,
DEU,OWID,2022-02-13,0.443,0.446,350752,371777,4.181,4.431,0,0,0,2022-02-13,62841,186685,107094344,107094344,,350752.142857149,350752,371777,4.181,4.431,0.443,0.446,0,0,0,0,0,0,tests performed,PCR,PCR,Directly from source,2022-02-15,63210,158933.571428571,107163837,107163837,2462011,351715.857142851,351715.857142857,374752.142857143,4.19788810683254,4.47283661387786,0.451880596796684,0.511872799736207,0,0,0,0,0,0,Samples,Not specified,,
DJI,OWID,2022-02-20,0.003,,382,,0.381,,,0,0,2022-02-20,1,1.14285714285714,,281496,,509,382,,0.381,,0.003,,0,0,0,,0,0,tests performed,,,,2022-02-21,0,1.14285714285714,282005,282005,300,150,404.857142857143,349.571428571429,0.409774436090225,0.353817235396183,0.00282286520818631,0.00408663669799755,0,0,0,0,0,0,Not specified,Not specified,,
DNK,OWID,2022-02-20,0.339,0.3168,105633,146263,18.171,25.16,0,0,0,2022-02-20,25690,35807.4285714286,62112795,62112795,61645,61645,105633,146263,18.171,25.16,0.339,0.3168,0,0,0,0,0,0,tests performed,unclear,unclear,7-day cases / tests,2021-10-13,805,642.714285714286,84399258,84399258,227034,45406.799999997,53399,63073,9.21944060773481,10.8896754143646,0.0120360734417177,0.00723651279356573,0,0,0,0,0,0,Samples and People,PCR and rapid test,,
DOM,OWID,2022-02-20,0.085,0.1426,4051,6844,0.37,0.625,0,0,0,2022-02-20,304,344.285714285714,3079556,3079556,4048,4048,4051,6844,0.37,0.625,0.085,0.1426,0,0,0,0,0,0,samples tested,PCR,PCR,7-day cases / tests,2021-09-23,279,268.285714285714,2039561,2039561,3738,3738,3583.57142857143,4369.71428571429,0.330343973872735,0.402812895069532,0.0748654574446881,0.0654505034654113,0,0,0,0,0,0,Samples,PCR and rapid test,,
ECU,OWID,2022-02-16,0.646,0.3961,6893,8415,0.385,0.47,0,0,0,2022-02-16,0,4453,2464122,2464122,8267,8267,6893,8415,0.385,0.47,0.646,0.3961,0,0,0,0,0,0,people tested,PCR,PCR,7-day cases / tests,2022-02-01,7259,6771.28571428572,2470170,2470170,64769,10794.8333333335,10855.8571428571,12839.1428571429,0.615306758649728,0.727718803896325,0.623744917161243,0.587077464005163,0,0,0,0,0,0,Samples,PCR,,
ESP,OWID,2022-02-18,0.208,0.257,107018,138833,2.289,2.97,0,0,0,2022-02-18,30615,29288.8571428571,84703635,84703635,86613,86613,107018,138833,2.289,2.97,0.208,0.257,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen + antibody (only under ‘exceptional’ circumstances),7-day cases / tests,2021-11-15,9798,3556.85714285714,62986857,62986857,719067,143813.399999999,122031.571428571,68875.3035714286,2.61002184640298,1.47311097361627,0.029147024013692,0.0433661557623417,0,0,0,0,0,0,Samples,PCR and rapid test,,
EST,OWID,2022-02-20,0.5801,0.598,9640,9474,7.274,7.149,0,0,0,2022-02-20,4111,5591.85714285714,3058906,3058906,5584,5584,9640,9474,7.274,7.149,0.5801,0.598,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-22,5261,5854.14285714286,3054727,3054727,9583,9583,9325.5142857143,9711.01632653057,7.02751641726775,7.31802285345183,0.627755497207354,0.517247611486053,0,0,0,0,0,0,Samples,Not specified,,
ETH,OWID,2022-02-20,0.0264,0.0217,4578,6312,0.039,0.054,0,0,0,2022-02-20,61,121,,4457652.33333333,,3435.66666666605,4578,6312,0.039,0.054,0.0264,0.0217,0,0,0,0,0,0,tests performed,,,7-day cases / tests,2022-02-21,34,114.857142857143,4461088,4461088,4528,2264,4543.71428571429,5417.85714285714,0.0395229314021284,0.0471265539025881,0.0252782493869081,0.0236783124588003,0,0,0,0,0,0,Not specified,Not specified,,
FIN,OWID,2022-02-19,0.433,0.336,11981,17401,2.159,3.136,0,0,0,2022-02-19,0,5010.42857142857,9818690,9818690,3296,3296,11981,17401,2.159,3.136,0.433,0.336,0,0,0,0,0,0,tests performed,,,7-day cases / tests,2021-09-15,480,437.428571428571,6886900,6886900,116600,16657.1428571427,16657.1428571429,24985.7142857143,3.0061618583546,4.50924278753191,0.0262607204116638,0.0206003430531732,0,0,0,0,0,0,Samples,Not specified,,
FRA,OWID,2022-02-18,0.243,0.288,377100,542910,5.593,8.052,0,0,0,2022-02-18,82639,92531.5714285714,244765417,244765417,369590,369590,377100,542910,5.593,8.052,0.243,0.288,0,0,0,0,0,0,people tested,PCR + antigen,PCR + antigen,Directly from source,2022-02-22,97518,96751.2857142857,245098295,245098295,370228,370228,379392.857142857,544221.571428572,5.81231205599254,8.33749381727137,0.255016097147698,0.18682910400727,0,0,0,0,0,0,Samples,PCR,,
FRO,OWID,2022-02-20,0.5049,0.5312,939,1269,19.143,25.87,0,0,0,2022-02-20,952,474.142857142857,774591,774591,,520.333333333372,939,1269,19.143,25.87,0.5049,0.5312,0,0,0,0,0,0,people tested,Unclear,Unclear,7-day cases / tests,2022-02-22,,,775562,775562,971,971,727.428571428572,1190.85714285714,14.8454810495627,24.3032069970846,,,0,0,,0,0,,Samples,Not specified,,
GAB,OWID,2022-02-20,0.01,0.0254,828,1007,0.363,0.442,0,0,0,2022-02-20,0,8.28571428571429,,1561994,,809,828,1007,0.363,0.442,0.01,0.0254,0,0,0,0,0,0,tests performed,unclear,unclear,7-day cases / tests,2022-02-19,0,8.28571428571429,1562803,1562803,2427,1213.5,1075.33333333332,1016.80952380953,0.483078766097629,0.456787746545164,0.00770525197059613,0.0251486910504376,0,0,0,0,0,0,Not specified,Not specified,,
GBR,OWID,2022-02-20,0.0511,0.0705,839719,1025783,12.311,15.039,0,0,0,2022-02-20,31010,44444,459040234,459040234,726671,726671,839719,1025783,12.311,15.039,0.0511,0.0705,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-15,46341,66650.4285714286,464167208,464167208,958101,958101,1004828.57142857,1190980.85714286,14.8017053800279,17.5438360949659,0.0663301487105121,0.0612863394949613,0,0,0,0,0,0,Samples,PCR and rapid test,,
GEO,OWID,2022-02-20,0.3789,0.3469,35751,57425,8.983,14.429,0,0,0,2022-02-20,9400,13546.8571428571,13255645,13255645,32470,16235,35751,57425,8.983,14.429,0.3789,0.3469,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2021-06-16,811,704.285714285714,2868759,2868759,24168,12084,12404.5952380952,10883.8333333334,3.10970048585992,2.72846160274088,0.056776194689756,0.0669275749746783,0,0,0,0,0,0,Samples,PCR and rapid test,,
GHA,OWID,2022-02-20,0.036,0.0164,1860,1825,0.059,0.058,0,0,0,2022-02-20,0,67,,2286540.66666667,,1101.33333333302,1860,1825,0.059,0.058,0.036,0.0164,0,0,0,0,0,0,tests performed,Unclear,Unclear,7-day cases / tests,2022-02-21,214,73.8571428571429,2287642,2287642,3304,1101.33333333349,2504.14285714286,834.428571428571,0.0805890276813587,0.026853814289852,0.0294939814022477,0.0284197911316555,0,0,0,0,0,0,Not specified,Not specified,,
GMB,OWID,2022-02-13,0.0159,0.0183,278,297,0.112,0.119,0,0,0,2022-02-13,0,4.42857142857143,142622,142622,,330.399999999994,278,297,0.112,0.119,0.0159,0.0183,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-18,0,1.85714285714286,142622,142622,-1774,-1774,0,320.08163265306,0,0.132429306021125,Inf,0.0138357561846468,1,0,0,0,0,0,Not specified,Not specified,,
GNQ,OWID,2022-02-20,0.003,0.0072,524,277,0.361,0.191,0,0,0,2022-02-20,0,1.57142857142857,,285881.666666667,,597.333333333372,524,277,0.361,0.191,0.003,0.0072,0,0,0,0,0,0,tests performed,unclear,unclear,7-day cases / tests,2022-02-19,0,1.57142857142857,284687,284687,2476,412.666666666686,403.428571428571,299.857142857143,0.287547092964057,0.213725689848284,0.00389518413597734,0.00666984278227728,0,0,0,0,0,0,Not specified,Not specified,,
GRC,OWID,2022-02-20,0.0592,0.0538,301029,335153,29.027,32.317,0,0,0,2022-02-20,9596,17833.2857142857,,63247461,,222936,301029,335153,29.027,32.317,0.0592,0.0538,0,0,0,0,0,0,samples tested,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-22,19601,17172,63959112,63959112,488715,488715,310976.428571429,317527.714285714,29.8355970998205,30.4641383752964,0.0552196193096859,0.0567005624705875,0,0,0,0,0,0,Samples,PCR and rapid test,,
