"location","date","vaccine","total_vaccinations"
"Austria","2021-08-06","Moderna",982989
"Austria","2021-08-06","Oxford/AstraZeneca",1558199
"Austria","2021-08-06","Pfizer/BioNTech",7026808
"Austria","2021-08-13","Johnson&Johnson",226465
"Austria","2021-08-13","Moderna",992446
"Austria","2021-08-13","Oxford/AstraZeneca",1563375
"Austria","2021-08-13","Pfizer/BioNTech",7152070
"Austria","2021-08-20","Johnson&Johnson",239819
"Austria","2021-08-20","Moderna",1006323
"Austria","2021-08-20","Oxford/AstraZeneca",1565931
"Austria","2021-08-20","Pfizer/BioNTech",7245623
"Austria","2021-08-27","Johnson&Johnson",253485
"Austria","2021-08-27","Moderna",1009911
"Austria","2021-08-27","Oxford/AstraZeneca",1567596
"Austria","2021-08-27","Pfizer/BioNTech",7304053
"Austria","2021-09-03","Johnson&Johnson",266319
"Austria","2021-09-03","Moderna",1014641
"Austria","2021-09-03","Oxford/AstraZeneca",1569347
"Austria","2021-09-03","Pfizer/BioNTech",7353180
"Austria","2021-09-10","Johnson&Johnson",280204
"Austria","2021-09-10","Moderna",1017463
"Austria","2021-09-10","Oxford/AstraZeneca",1570311
"Austria","2021-09-10","Pfizer/BioNTech",7403715
"Austria","2021-09-17","Johnson&Johnson",291512
"Austria","2021-09-17","Moderna",1021331
"Austria","2021-09-17","Oxford/AstraZeneca",1571103
"Austria","2021-09-17","Pfizer/BioNTech",7463248
"Austria","2021-09-24","Johnson&Johnson",305117
"Austria","2021-09-24","Moderna",1023533
"Austria","2021-09-24","Oxford/AstraZeneca",1572091
"Austria","2021-09-24","Pfizer/BioNTech",7517111
"Austria","2021-10-01","Johnson&Johnson",312416
"Austria","2021-10-01","Moderna",1026043
"Austria","2021-10-01","Oxford/AstraZeneca",1572670
"Austria","2021-10-01","Pfizer/BioNTech",7567599
"Austria","2021-10-08","Johnson&Johnson",316345
"Austria","2021-10-08","Moderna",1028516
"Austria","2021-10-08","Oxford/AstraZeneca",1572942
"Austria","2021-10-08","Pfizer/BioNTech",7619443
"Austria","2021-10-15","Johnson&Johnson",318893
"Austria","2021-10-15","Moderna",1030802
"Austria","2021-10-15","Oxford/AstraZeneca",1573164
"Austria","2021-10-15","Pfizer/BioNTech",7666715
"Austria","2021-10-22","Johnson&Johnson",321909
"Austria","2021-10-22","Moderna",1033000
"Austria","2021-10-22","Oxford/AstraZeneca",1573293
"Austria","2021-10-22","Pfizer/BioNTech",7717821
"Austria","2021-10-29","Johnson&Johnson",326748
"Austria","2021-10-29","Moderna",1035320
"Austria","2021-10-29","Oxford/AstraZeneca",1573418
"Austria","2021-10-29","Pfizer/BioNTech",7775083
"Austria","2021-11-02","Johnson&Johnson",327833
"Austria","2021-11-02","Moderna",1035794
"Austria","2021-11-02","Oxford/AstraZeneca",1573454
"Austria","2021-11-02","Pfizer/BioNTech",7788368
"Belgium","2021-01-08","Johnson&Johnson",0
"Belgium","2021-01-08","Moderna",0
"Belgium","2021-01-08","Oxford/AstraZeneca",0
"Belgium","2021-01-08","Pfizer/BioNTech",28092
"Belgium","2021-01-15","Johnson&Johnson",0
"Belgium","2021-01-15","Moderna",40
"Belgium","2021-01-15","Oxford/AstraZeneca",0
"Belgium","2021-01-15","Pfizer/BioNTech",127048
"Belgium","2021-01-22","Johnson&Johnson",0
"Belgium","2021-01-22","Moderna",4516
"Belgium","2021-01-22","Oxford/AstraZeneca",0
"Belgium","2021-01-22","Pfizer/BioNTech",244954
"Belgium","2021-01-29","Johnson&Johnson",0
"Belgium","2021-01-29","Moderna",6217
"Belgium","2021-01-29","Oxford/AstraZeneca",0
"Belgium","2021-01-29","Pfizer/BioNTech",334777
"Belgium","2021-02-05","Johnson&Johnson",0
"Belgium","2021-02-05","Moderna",16006
"Belgium","2021-02-05","Oxford/AstraZeneca",0
"Belgium","2021-02-05","Pfizer/BioNTech",464040
"Belgium","2021-02-12","Johnson&Johnson",0
"Belgium","2021-02-12","Moderna",25618
"Belgium","2021-02-12","Oxford/AstraZeneca",378
"Belgium","2021-02-12","Pfizer/BioNTech",599735
"Belgium","2021-02-19","Johnson&Johnson",0
"Belgium","2021-02-19","Moderna",30429
"Belgium","2021-02-19","Oxford/AstraZeneca",10849
"Belgium","2021-02-19","Pfizer/BioNTech",700521
"Belgium","2021-02-26","Johnson&Johnson",0
"Belgium","2021-02-26","Moderna",32917
"Belgium","2021-02-26","Oxford/AstraZeneca",45453
"Belgium","2021-02-26","Pfizer/BioNTech",789340
"Belgium","2021-03-05","Johnson&Johnson",0
"Belgium","2021-03-05","Moderna",51794
"Belgium","2021-03-05","Oxford/AstraZeneca",110285
"Belgium","2021-03-05","Pfizer/BioNTech",878589
"Belgium","2021-03-12","Johnson&Johnson",0
"Belgium","2021-03-12","Moderna",67751
"Belgium","2021-03-12","Oxford/AstraZeneca",191552
"Belgium","2021-03-12","Pfizer/BioNTech",975191
"Belgium","2021-03-19","Johnson&Johnson",0
"Belgium","2021-03-19","Moderna",90246
"Belgium","2021-03-19","Oxford/AstraZeneca",351500
"Belgium","2021-03-19","Pfizer/BioNTech",1085747
"Belgium","2021-03-26","Johnson&Johnson",0
"Belgium","2021-03-26","Moderna",100612
"Belgium","2021-03-26","Oxford/AstraZeneca",462289
"Belgium","2021-03-26","Pfizer/BioNTech",1282591
"Belgium","2021-04-02","Johnson&Johnson",0
"Belgium","2021-04-02","Moderna",128453
"Belgium","2021-04-02","Oxford/AstraZeneca",522368
"Belgium","2021-04-02","Pfizer/BioNTech",1541521
"Belgium","2021-04-09","Johnson&Johnson",0
"Belgium","2021-04-09","Moderna",175747
"Belgium","2021-04-09","Oxford/AstraZeneca",602128
"Belgium","2021-04-09","Pfizer/BioNTech",1859895
"Belgium","2021-04-16","Johnson&Johnson",0
"Belgium","2021-04-16","Moderna",210424
"Belgium","2021-04-16","Oxford/AstraZeneca",782946
"Belgium","2021-04-16","Pfizer/BioNTech",2137493
"Belgium","2021-04-23","Johnson&Johnson",0
"Belgium","2021-04-23","Moderna",261864
"Belgium","2021-04-23","Oxford/AstraZeneca",839959
"Belgium","2021-04-23","Pfizer/BioNTech",2454864
"Belgium","2021-04-30","Johnson&Johnson",3047
"Belgium","2021-04-30","Moderna",288967
"Belgium","2021-04-30","Oxford/AstraZeneca",905532
"Belgium","2021-04-30","Pfizer/BioNTech",2811004
"Belgium","2021-05-07","Johnson&Johnson",23992
"Belgium","2021-05-07","Moderna",346908
"Belgium","2021-05-07","Oxford/AstraZeneca",1008414
"Belgium","2021-05-07","Pfizer/BioNTech",3363413
"Belgium","2021-05-14","Johnson&Johnson",29780
"Belgium","2021-05-14","Moderna",401480
"Belgium","2021-05-14","Oxford/AstraZeneca",1101543
"Belgium","2021-05-14","Pfizer/BioNTech",3815285
"Belgium","2021-05-21","Johnson&Johnson",50354
"Belgium","2021-05-21","Moderna",503394
"Belgium","2021-05-21","Oxford/AstraZeneca",1368540
"Belgium","2021-05-21","Pfizer/BioNTech",4184671
"Belgium","2021-05-28","Johnson&Johnson",74178
"Belgium","2021-05-28","Moderna",577782
"Belgium","2021-05-28","Oxford/AstraZeneca",1468578
"Belgium","2021-05-28","Pfizer/BioNTech",4626984
"Belgium","2021-06-04","Johnson&Johnson",98017
"Belgium","2021-06-04","Moderna",654109
"Belgium","2021-06-04","Oxford/AstraZeneca",1572049
"Belgium","2021-06-04","Pfizer/BioNTech",5326097
"Belgium","2021-06-11","Johnson&Johnson",144336
"Belgium","2021-06-11","Moderna",740463
"Belgium","2021-06-11","Oxford/AstraZeneca",1759310
"Belgium","2021-06-11","Pfizer/BioNTech",6079971
"Belgium","2021-06-18","Johnson&Johnson",213759
"Belgium","2021-06-18","Moderna",846787
"Belgium","2021-06-18","Oxford/AstraZeneca",1894328
"Belgium","2021-06-18","Pfizer/BioNTech",6793503
"Belgium","2021-06-25","Johnson&Johnson",244757
"Belgium","2021-06-25","Moderna",959437
"Belgium","2021-06-25","Oxford/AstraZeneca",1963652
"Belgium","2021-06-25","Pfizer/BioNTech",7453943
"Belgium","2021-07-02","Johnson&Johnson",268282
"Belgium","2021-07-02","Moderna",1043015
"Belgium","2021-07-02","Oxford/AstraZeneca",2063639
"Belgium","2021-07-02","Pfizer/BioNTech",7923458
"Belgium","2021-07-09","Johnson&Johnson",283396
"Belgium","2021-07-09","Moderna",1104648
"Belgium","2021-07-09","Oxford/AstraZeneca",2290826
"Belgium","2021-07-09","Pfizer/BioNTech",8457846
"Belgium","2021-07-16","Johnson&Johnson",301541
"Belgium","2021-07-16","Moderna",1159406
"Belgium","2021-07-16","Oxford/AstraZeneca",2445333
"Belgium","2021-07-16","Pfizer/BioNTech",8965986
"Belgium","2021-07-23","Johnson&Johnson",312201
"Belgium","2021-07-23","Moderna",1212983
"Belgium","2021-07-23","Oxford/AstraZeneca",2551650
"Belgium","2021-07-23","Pfizer/BioNTech",9518417
"Belgium","2021-07-30","Johnson&Johnson",321492
"Belgium","2021-07-30","Moderna",1243973
"Belgium","2021-07-30","Oxford/AstraZeneca",2643138
"Belgium","2021-07-30","Pfizer/BioNTech",10027883
"Belgium","2021-08-06","Johnson&Johnson",330679
"Belgium","2021-08-06","Moderna",1267484
"Belgium","2021-08-06","Oxford/AstraZeneca",2703766
"Belgium","2021-08-06","Pfizer/BioNTech",10386401
"Belgium","2021-08-13","Johnson&Johnson",338003
"Belgium","2021-08-13","Moderna",1284855
"Belgium","2021-08-13","Oxford/AstraZeneca",2816861
"Belgium","2021-08-13","Pfizer/BioNTech",10537742
"Belgium","2021-08-20","Johnson&Johnson",344106
"Belgium","2021-08-20","Moderna",1296302
"Belgium","2021-08-20","Oxford/AstraZeneca",2826466
"Belgium","2021-08-20","Pfizer/BioNTech",10637079
"Belgium","2021-08-27","Johnson&Johnson",349844
"Belgium","2021-08-27","Moderna",1304069
"Belgium","2021-08-27","Oxford/AstraZeneca",2829987
"Belgium","2021-08-27","Pfizer/BioNTech",10709072
"Belgium","2021-09-03","Johnson&Johnson",355756
"Belgium","2021-09-03","Moderna",1313285
"Belgium","2021-09-03","Oxford/AstraZeneca",2832436
"Belgium","2021-09-03","Pfizer/BioNTech",10762396
"Belgium","2021-09-10","Johnson&Johnson",360642
"Belgium","2021-09-10","Moderna",1319588
"Belgium","2021-09-10","Oxford/AstraZeneca",2833427
"Belgium","2021-09-10","Pfizer/BioNTech",10804235
"Belgium","2021-09-17","Johnson&Johnson",367180
"Belgium","2021-09-17","Moderna",1325356
"Belgium","2021-09-17","Oxford/AstraZeneca",2834322
"Belgium","2021-09-17","Pfizer/BioNTech",10840128
"Belgium","2021-09-24","Johnson&Johnson",373959
"Belgium","2021-09-24","Moderna",1329010
"Belgium","2021-09-24","Oxford/AstraZeneca",2834882
"Belgium","2021-09-24","Pfizer/BioNTech",10880684
"Belgium","2021-10-01","Johnson&Johnson",378873
"Belgium","2021-10-01","Moderna",1333726
"Belgium","2021-10-01","Oxford/AstraZeneca",2835196
"Belgium","2021-10-01","Pfizer/BioNTech",10919765
"Belgium","2021-10-08","Johnson&Johnson",382795
"Belgium","2021-10-08","Moderna",1335524
"Belgium","2021-10-08","Oxford/AstraZeneca",2835307
"Belgium","2021-10-08","Pfizer/BioNTech",10949582
"Belgium","2021-10-15","Johnson&Johnson",386678
"Belgium","2021-10-15","Moderna",1337679
"Belgium","2021-10-15","Oxford/AstraZeneca",2835435
"Belgium","2021-10-15","Pfizer/BioNTech",10980825
"Belgium","2021-10-22","Johnson&Johnson",389602
"Belgium","2021-10-22","Moderna",1339855
"Belgium","2021-10-22","Oxford/AstraZeneca",2835511
"Belgium","2021-10-22","Pfizer/BioNTech",11008640
"Belgium","2021-10-29","Johnson&Johnson",392486
"Belgium","2021-10-29","Moderna",1341875
"Belgium","2021-10-29","Oxford/AstraZeneca",2835530
"Belgium","2021-10-29","Pfizer/BioNTech",11035791
"Belgium","2021-11-02","Johnson&Johnson",392507
"Belgium","2021-11-02","Pfizer/BioNTech",11035972
"Bulgaria","2021-01-01","Pfizer/BioNTech",0
"Bulgaria","2021-01-08","Moderna",0
"Bulgaria","2021-01-08","Pfizer/BioNTech",13473
"Bulgaria","2021-01-15","Moderna",491
"Bulgaria","2021-01-15","Pfizer/BioNTech",17962
"Bulgaria","2021-01-22","Moderna",843
"Bulgaria","2021-01-22","Pfizer/BioNTech",25300
"Bulgaria","2021-01-29","Moderna",1053
"Bulgaria","2021-01-29","Pfizer/BioNTech",40072
"Bulgaria","2021-02-05","Moderna",2207
"Bulgaria","2021-02-05","Oxford/AstraZeneca",10
"Bulgaria","2021-02-05","Pfizer/BioNTech",54821
"Bulgaria","2021-02-12","Moderna",3333
"Bulgaria","2021-02-12","Oxford/AstraZeneca",2035
"Bulgaria","2021-02-12","Pfizer/BioNTech",70020
"Bulgaria","2021-02-19","Moderna",6446
"Bulgaria","2021-02-19","Oxford/AstraZeneca",28947
"Bulgaria","2021-02-19","Pfizer/BioNTech",83960
"Bulgaria","2021-02-26","Moderna",10475
"Bulgaria","2021-02-26","Oxford/AstraZeneca",97630
"Bulgaria","2021-02-26","Pfizer/BioNTech",104340
"Bulgaria","2021-03-05","Moderna",14820
"Bulgaria","2021-03-05","Oxford/AstraZeneca",143932
"Bulgaria","2021-03-05","Pfizer/BioNTech",129880
"Bulgaria","2021-03-12","Moderna",16988
"Bulgaria","2021-03-12","Oxford/AstraZeneca",174209
"Bulgaria","2021-03-12","Pfizer/BioNTech",147683
"Bulgaria","2021-03-19","Moderna",20921
"Bulgaria","2021-03-19","Oxford/AstraZeneca",179029
"Bulgaria","2021-03-19","Pfizer/BioNTech",168956
"Bulgaria","2021-03-26","Moderna",34004
"Bulgaria","2021-03-26","Oxford/AstraZeneca",206835
"Bulgaria","2021-03-26","Pfizer/BioNTech",195704
"Bulgaria","2021-04-02","Moderna",44809
"Bulgaria","2021-04-02","Oxford/AstraZeneca",230180
"Bulgaria","2021-04-02","Pfizer/BioNTech",228583
"Bulgaria","2021-04-09","Moderna",59160
"Bulgaria","2021-04-09","Oxford/AstraZeneca",238387
"Bulgaria","2021-04-09","Pfizer/BioNTech",275118
"Bulgaria","2021-04-16","Johnson&Johnson",0
"Bulgaria","2021-04-16","Moderna",74318
"Bulgaria","2021-04-16","Oxford/AstraZeneca",241707
"Bulgaria","2021-04-16","Pfizer/BioNTech",322422
"Bulgaria","2021-04-23","Johnson&Johnson",0
"Bulgaria","2021-04-23","Moderna",93241
"Bulgaria","2021-04-23","Oxford/AstraZeneca",247383
"Bulgaria","2021-04-23","Pfizer/BioNTech",382650
"Bulgaria","2021-04-30","Johnson&Johnson",0
"Bulgaria","2021-04-30","Moderna",108865
"Bulgaria","2021-04-30","Oxford/AstraZeneca",263756
"Bulgaria","2021-04-30","Pfizer/BioNTech",452036
"Bulgaria","2021-05-07","Johnson&Johnson",0
"Bulgaria","2021-05-07","Moderna",122688
"Bulgaria","2021-05-07","Oxford/AstraZeneca",300451
"Bulgaria","2021-05-07","Pfizer/BioNTech",514960
"Bulgaria","2021-05-14","Johnson&Johnson",398
"Bulgaria","2021-05-14","Moderna",145571
"Bulgaria","2021-05-14","Oxford/AstraZeneca",364379
"Bulgaria","2021-05-14","Pfizer/BioNTech",606439
"Bulgaria","2021-05-21","Johnson&Johnson",2629
"Bulgaria","2021-05-21","Moderna",165767
"Bulgaria","2021-05-21","Oxford/AstraZeneca",401422
"Bulgaria","2021-05-21","Pfizer/BioNTech",690983
"Bulgaria","2021-05-28","Johnson&Johnson",6276
"Bulgaria","2021-05-28","Moderna",181502
"Bulgaria","2021-05-28","Oxford/AstraZeneca",411232
"Bulgaria","2021-05-28","Pfizer/BioNTech",754371
"Bulgaria","2021-06-04","Johnson&Johnson",11142
"Bulgaria","2021-06-04","Moderna",190457
"Bulgaria","2021-06-04","Oxford/AstraZeneca",435357
"Bulgaria","2021-06-04","Pfizer/BioNTech",827459
"Bulgaria","2021-06-11","Johnson&Johnson",17987
"Bulgaria","2021-06-11","Moderna",202784
"Bulgaria","2021-06-11","Oxford/AstraZeneca",457900
"Bulgaria","2021-06-11","Pfizer/BioNTech",898271
"Bulgaria","2021-06-18","Johnson&Johnson",25928
"Bulgaria","2021-06-18","Moderna",216421
"Bulgaria","2021-06-18","Oxford/AstraZeneca",467870
"Bulgaria","2021-06-18","Pfizer/BioNTech",949706
"Bulgaria","2021-06-25","Johnson&Johnson",33099
"Bulgaria","2021-06-25","Moderna",225728
"Bulgaria","2021-06-25","Oxford/AstraZeneca",470990
"Bulgaria","2021-06-25","Pfizer/BioNTech",997114
"Bulgaria","2021-07-02","Johnson&Johnson",39994
"Bulgaria","2021-07-02","Moderna",234047
"Bulgaria","2021-07-02","Oxford/AstraZeneca",472860
"Bulgaria","2021-07-02","Pfizer/BioNTech",1042927
"Bulgaria","2021-07-09","Johnson&Johnson",48424
"Bulgaria","2021-07-09","Moderna",241862
"Bulgaria","2021-07-09","Oxford/AstraZeneca",474021
"Bulgaria","2021-07-09","Pfizer/BioNTech",1086383
"Bulgaria","2021-07-16","Johnson&Johnson",58430
"Bulgaria","2021-07-16","Moderna",247955
"Bulgaria","2021-07-16","Oxford/AstraZeneca",474812
"Bulgaria","2021-07-16","Pfizer/BioNTech",1127926
"Bulgaria","2021-07-23","Johnson&Johnson",68108
"Bulgaria","2021-07-23","Moderna",252761
"Bulgaria","2021-07-23","Oxford/AstraZeneca",475720
"Bulgaria","2021-07-23","Pfizer/BioNTech",1167720
"Bulgaria","2021-07-30","Johnson&Johnson",78440
"Bulgaria","2021-07-30","Moderna",258066
"Bulgaria","2021-07-30","Oxford/AstraZeneca",476371
"Bulgaria","2021-07-30","Pfizer/BioNTech",1212406
"Bulgaria","2021-08-06","Johnson&Johnson",89960
"Bulgaria","2021-08-06","Moderna",263844
"Bulgaria","2021-08-06","Oxford/AstraZeneca",476700
"Bulgaria","2021-08-06","Pfizer/BioNTech",1256750
"Bulgaria","2021-08-13","Johnson&Johnson",102550
"Bulgaria","2021-08-13","Moderna",269269
"Bulgaria","2021-08-13","Oxford/AstraZeneca",477025
"Bulgaria","2021-08-13","Pfizer/BioNTech",1298259
"Bulgaria","2021-08-20","Johnson&Johnson",116845
"Bulgaria","2021-08-20","Moderna",274596
"Bulgaria","2021-08-20","Oxford/AstraZeneca",477363
"Bulgaria","2021-08-20","Pfizer/BioNTech",1341032
"Bulgaria","2021-08-27","Johnson&Johnson",133004
"Bulgaria","2021-08-27","Moderna",280188
"Bulgaria","2021-08-27","Oxford/AstraZeneca",477659
"Bulgaria","2021-08-27","Pfizer/BioNTech",1387124
"Bulgaria","2021-09-03","Johnson&Johnson",149767
"Bulgaria","2021-09-03","Moderna",285738
"Bulgaria","2021-09-03","Oxford/AstraZeneca",477825
"Bulgaria","2021-09-03","Pfizer/BioNTech",1428817
"Bulgaria","2021-09-10","Johnson&Johnson",162888
"Bulgaria","2021-09-10","Moderna",290164
"Bulgaria","2021-09-10","Oxford/AstraZeneca",477891
"Bulgaria","2021-09-10","Pfizer/BioNTech",1463273
"Bulgaria","2021-09-17","Johnson&Johnson",175977
"Bulgaria","2021-09-17","Moderna",294725
"Bulgaria","2021-09-17","Oxford/AstraZeneca",478020
"Bulgaria","2021-09-17","Pfizer/BioNTech",1499714
"Bulgaria","2021-09-24","Johnson&Johnson",185864
"Bulgaria","2021-09-24","Moderna",298370
"Bulgaria","2021-09-24","Oxford/AstraZeneca",478112
"Bulgaria","2021-09-24","Pfizer/BioNTech",1529744
"Bulgaria","2021-10-01","Johnson&Johnson",195779
"Bulgaria","2021-10-01","Moderna",301960
"Bulgaria","2021-10-01","Oxford/AstraZeneca",478260
"Bulgaria","2021-10-01","Pfizer/BioNTech",1555083
"Bulgaria","2021-10-08","Johnson&Johnson",203802
"Bulgaria","2021-10-08","Moderna",304703
"Bulgaria","2021-10-08","Oxford/AstraZeneca",478299
"Bulgaria","2021-10-08","Pfizer/BioNTech",1578851
"Bulgaria","2021-10-15","Johnson&Johnson",213919
"Bulgaria","2021-10-15","Moderna",307734
"Bulgaria","2021-10-15","Oxford/AstraZeneca",478334
"Bulgaria","2021-10-15","Pfizer/BioNTech",1601200
"Bulgaria","2021-10-22","Johnson&Johnson",255344
"Bulgaria","2021-10-22","Moderna",313829
"Bulgaria","2021-10-22","Oxford/AstraZeneca",478387
"Bulgaria","2021-10-22","Pfizer/BioNTech",1647577
"Bulgaria","2021-10-29","Johnson&Johnson",312725
"Bulgaria","2021-10-29","Moderna",322240
"Bulgaria","2021-10-29","Oxford/AstraZeneca",478451
"Bulgaria","2021-10-29","Pfizer/BioNTech",1706120
"Bulgaria","2021-11-02","Johnson&Johnson",326659
"Bulgaria","2021-11-02","Moderna",322240
"Bulgaria","2021-11-02","Oxford/AstraZeneca",478451
"Bulgaria","2021-11-02","Pfizer/BioNTech",1706120
"Chile","2020-12-24","Pfizer/BioNTech",420
"Chile","2020-12-25","Pfizer/BioNTech",5202
"Chile","2020-12-26","Pfizer/BioNTech",8345
"Chile","2020-12-27","Pfizer/BioNTech",8656
"Chile","2020-12-28","Pfizer/BioNTech",8656
"Chile","2020-12-29","Pfizer/BioNTech",8656
"Chile","2020-12-30","Pfizer/BioNTech",8656
"Chile","2020-12-31","Pfizer/BioNTech",8656
"Chile","2021-01-01","Pfizer/BioNTech",8656
"Chile","2021-01-02","Pfizer/BioNTech",8656
"Chile","2021-01-03","Pfizer/BioNTech",8656
"Chile","2021-01-04","Pfizer/BioNTech",9061
"Chile","2021-01-05","Pfizer/BioNTech",10504
"Chile","2021-01-06","Pfizer/BioNTech",10709
"Chile","2021-01-07","Pfizer/BioNTech",10709
"Chile","2021-01-08","Pfizer/BioNTech",10710
"Chile","2021-01-09","Pfizer/BioNTech",10710
"Chile","2021-01-10","Pfizer/BioNTech",10711
